X,first_function(x)
-3.141592653589793,NaN
-3.041592653589793,9.461853071719151E-37
-2.941592653589793,5.411689310576424E-26
-2.841592653589793,8.737523855197117E-20
-2.7415926535897928,1.7992915092232243E-15
-2.6415926535897927,3.206370247475366E-12
-2.5415926535897926,1.1584365005363684E-9
-2.4415926535897925,1.332784577470776E-7
-2.3415926535897924,6.400817483525072E-6
-2.2415926535897923,1.5199760270382043E-4
-2.1415926535897922,0.002001478993848768
-2.041592653589792,0.015819980764254695
-1.941592653589792,0.07936221214941722
-1.841592653589792,0.2627839506943327
-1.7415926535897919,0.5902220038540097
-1.6415926535897918,0.9138523321814709
-1.5415926535897917,0.9848659737965493
-1.4415926535897916,0.7398748549068506
-1.3415926535897915,0.38520020541711236
-1.2415926535897914,0.13710210472219705
-1.1415926535897913,0.0326149313642672
-1.0415926535897913,0.005013140436953649
-0.9415926535897913,4.746577488305159E-4
-0.8415926535897913,2.5846769666118192E-5
-0.7415926535897913,7.339326316447808E-7
-0.6415926535897913,9.409803483428993E-9
-0.5415926535897914,4.367906950655997E-11
-0.4415926535897914,5.120431547142675E-14
-0.3415926535897914,7.962785618668866E-18
-0.2415926535897914,4.3513784809154853E-23
-0.1415926535897914,2.427668361227866E-31
-0.04159265358979139,1.9058580070920984E-50
0.058407346410208616,3.8365313463503666E-45
0.15840734641020862,1.3380444313316774E-29
0.2584073464102086,4.662173315235669E-22
0.35840734641020866,4.182194456488015E-17
0.45840734641020864,1.7930818271384718E-13
0.5584073464102086,1.1724556133488808E-10
0.6584073464102086,2.086501602034234E-8
0.7584073464102086,1.40560643016957E-6
0.8584073464102085,4.399037670373078E-5
0.9584073464102085,7.3177722809393E-4
1.0584073464102086,0.00709555243413842
1.1584073464102087,0.04276329855767844
1.2584073464102088,0.1676481560706613
1.3584073464102089,0.4412622707595953
1.458407346410209,0.7962942362286998
1.558407346410209,0.9973575959421159
1.6584073464102091,0.8710051567880565
1.7584073464102092,0.5289471482322123
1.8584073464102093,0.22091598102708856
1.9584073464102094,0.06235190109385739
2.0584073464102093,0.011550487661361712
2.1584073464102094,0.0013470989103776315
2.2584073464102095,9.323339756662812E-5
2.3584073464102095,3.5200126762627496E-6
2.4584073464102096,6.415035015828976E-8
2.5584073464102097,4.70500633144118E-10
2.65840734641021,1.0351026884555122E-12
2.75840734641021,4.1528632431693526E-16
2.85840734641021,1.1622679527598212E-20
2.95840734641021,2.3837649183399813E-27
3.05840734641021,1.2773433908833825E-39
